2022-08-24T14:06:14.775,FD,2A, 0, 0,A7, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,7821641,chan1_raw,1500,chan2_raw,1500,chan3_raw,0,chan4_raw,1500,chan5_raw,0,chan6_raw,0,chan7_raw,0,chan8_raw,0,chan9_raw,0,chan10_raw,0,chan11_raw,0,chan12_raw,0,chan13_raw,0,chan14_raw,0,chan15_raw,0,chan16_raw,0,chan17_raw,0,chan18_raw,0,chancount,0,rssi,255,,sig ,Len,54,crc16,16881
2022-08-24T14:06:14.782,FD,1D, 0, 0,A8, 1, 1,    1B,mavlink_raw_imu_t,time_usec,7821641605,xacc,47,yacc,9,zacc,-1002,xgyro,28,ygyro,157,zgyro,-61,xmag,211,ymag,-248,zmag,530,id,0,temperature,5033,,sig ,Len,41,crc16,62272
2022-08-24T14:06:14.789,FD,18, 0, 0,A9, 1, 1,    74,mavlink_scaled_imu2_t,time_boot_ms,7821641,xacc,46,yacc,12,zacc,-1002,xgyro,29,ygyro,156,zgyro,-61,xmag,-144,ymag,77,zmag,895,temperature,5077,,sig ,Len,36,crc16,60351
2022-08-24T14:06:14.793,FD, E, 0, 0,AA, 1, 1,    1D,mavlink_scaled_pressure_t,time_boot_ms,7821641,press_abs,1021,681,press_diff,0,temperature,4910,temperature_press_diff,0,,sig ,Len,26,crc16,51263
2022-08-24T14:06:14.803,FD,2D, 0, 0,AB, 1, 1,    18,mavlink_gps_raw_int_t,time_usec,0,lat,0,lon,0,alt,-17000,eph,9999,epv,9999,vel,0,cog,0,fix_type,1,satellites_visible,0,alt_ellipsoid,0,h_acc,4294967295,v_acc,4294967295,vel_acc,1000000,hdg_acc,0,yaw,0,,sig ,Len,57,crc16,58827
2022-08-24T14:06:14.807,FD, B, 0, 0,AC, 1, 1,     2,mavlink_system_time_t,time_unix_usec,0,time_boot_ms,7821641,,sig ,Len,23,crc16,18094
2022-08-24T14:06:14.814,FD,1C, 0, 0,AD, 1, 1,    A3,mavlink_ahrs_t,omegaIx,-2,422128E-05,omegaIy,0,0004338521,omegaIz,-0,000536394,accel_weight,0,renorm_val,0,error_rp,0,0009959353,error_yaw,0,03163331,,sig ,Len,40,crc16,32914
2022-08-24T14:06:14.816,FD, 2, 0, 0,AE, 1, 1,    A5,mavlink_hwstatus_t,Vcc,5045,I2Cerr,0,,sig ,Len,14,crc16,46244
2022-08-24T14:06:14.819,FD, 4, 0, 0,AF, 1, 1,    A8,mavlink_wind_t,direction,-180,speed,0,speed_z,0,,sig ,Len,16,crc16,60417
2022-08-24T14:06:14.821,FD, 1, 0, 0,B0, 1, 1,    88,mavlink_terrain_report_t,lat,0,lon,0,terrain_height,0,current_height,0,spacing,0,pending,0,loaded,0,,sig ,Len,13,crc16,55762
2022-08-24T14:06:14.827,FD,16, 0, 0,B1, 1, 1,    C1,mavlink_ekf_status_report_t,velocity_variance,0,pos_horiz_variance,0,pos_vert_variance,0,compass_variance,0,terrain_alt_variance,0,flags,1024,airspeed_variance,0,,sig ,Len,34,crc16,44129
